id,name,unit_cost,remaining_qty,is_active
1688,PECAN NUTS,1.92,15,TRUE
1690,PECTIN,1.92,15,TRUE
1692,PEELER,1.92,15,TRUE
1694,PINEAPPLE FLAVOUR,1.92,15,TRUE
1696,PINK COLOUR,1.92,15,TRUE
1698,PINK PEARLS,1.92,15,TRUE
1700,PIPPING BAGS ,1.92,15,TRUE
1702,PIPPING BAGS BOX ,1.92,15,TRUE
1704,PISTACHIO,1.92,15,TRUE
1706,PISTACHIO PASTE ,1.92,15,TRUE
1708,PLASTIC BUCKETS ,1.92,15,TRUE
1710,PLASTIC CONTAINERS,1.92,15,TRUE
1712,PLASTIC CUUTARE,1.92,15,TRUE
1714,PLASTIC DISH BIG,1.92,15,TRUE
1716,PLASTIC DISHES,1.92,15,TRUE
1718,PLASTIC SPOON ,1.92,15,TRUE
1720,PLASTIC TRAYS ,1.92,15,TRUE
1722,PLASTICS,1.92,15,TRUE
1724,POPPY SEEDS,1.92,15,TRUE
1726,POT,1.92,15,TRUE
1728,PRALINE ,1.92,15,TRUE
1730,PROOVER,1.92,15,TRUE
1732,PUFF PASTRY SHEETER TRAY ,1.92,15,TRUE
1734,PUMPKIN SEEDS,1.92,15,TRUE
1736,PVC ROLL,1.92,15,TRUE
1738,RACHA,1.92,15,TRUE
1740,RACK SMALL STANDING ,1.92,15,TRUE
1742,RAISINS ,1.92,15,TRUE
1744,RASPBERRY FLAVOUR,1.92,15,TRUE
1746,RECTANGULAR 7.5 CM ,1.92,15,TRUE
1748,RECTANGULAR BIN CONTAINER ,1.92,15,TRUE
1750,RECTANGULAR BLACK MOULD,1.92,15,TRUE
1752,RECTANGULAR INOX 200,1.92,15,TRUE
1754,RECTANGULAR MOULD ,1.92,15,TRUE
1756,RED COLOUR,1.92,15,TRUE
1758,RED TAIL,1.92,15,TRUE
1760,RICE FLOUR,1.92,15,TRUE
1762,RING 8 CM PASTRY PRESS,1.92,15,TRUE
1764,RING CUTTER BLUE TOP,1.92,15,TRUE
1766,RING FLAT  22.5 CM ,1.92,15,TRUE
1768,RING HIGH 110 CM ,1.92,15,TRUE
1770,RING HIGH 27 CM ,1.92,15,TRUE
1772,RING HIGH 5.5 CM ,1.92,15,TRUE
1774,RING HIGH 8 CM ,1.92,15,TRUE
1776,RING PLASTIC BLACK 8 CM ,1.92,15,TRUE
1778,RING ROUND 11 CM ,1.92,15,TRUE
1780,RING ROUND 16.2 CM ,1.92,15,TRUE
1782,RING ROUND 18.5 CM ,1.92,15,TRUE
1784,RING ROUND 22 CM ,1.92,15,TRUE
1786,RING TART BIG28 CM ,1.92,15,TRUE
1788,RING THIN 8 CM ,1.92,15,TRUE
1790,RINGS 8CM,1.92,15,TRUE
1792,ROLLING PAPER ,1.92,15,TRUE
1794,ROLLING PINS,1.92,15,TRUE
1796,ROUND BASKET ,1.92,15,TRUE
1798,ROUND CUTTER,1.92,15,TRUE
1800,ROUND SMALL,1.92,15,TRUE
1802,ROUND THIN MOULD,1.92,15,TRUE
1804,ROUND TIN SILICON,1.92,15,TRUE
1806,ROUNDED RECTANGULAR MOULD,1.92,15,TRUE
1808,RULER ,1.92,15,TRUE
1810,RUM FLAVOUR,1.92,15,TRUE
1812,SALT ,1.92,15,TRUE
1814,SAMLL ROUND DOME,1.92,15,TRUE
1816,SCALES,1.92,15,TRUE
1818,SCISSORS ,1.92,15,TRUE
1820,SCOOPER - METAL ,1.92,15,TRUE
1822,SCOOPER -BIG WHITE PLASTIC ,1.92,15,TRUE
1824,SCRAPER BIG WHITE LONG,1.92,15,TRUE
1826,SCRAPER BROKEN,1.92,15,TRUE
1828,SCRAPER PLASTIC,1.92,15,TRUE
1830,SCRAPER PLASTIC ,1.92,15,TRUE
1832,SCRAPERS,1.92,15,TRUE
1834,SCRAPERS,1.92,15,TRUE
1836,SEIVE WITH HANDLE ,1.92,15,TRUE
1838,SEIVES,1.92,15,TRUE
1840,SESAME SEEDS ,1.92,15,TRUE
1842,SHAKER,1.92,15,TRUE
1844,SILICON CAKE,1.92,15,TRUE
1846,SILICON ROUND SMALL ,1.92,15,TRUE
1848,SILVER BALLS,1.92,15,TRUE
1850,SILVER DISH ,1.92,15,TRUE
1852,SILVER DUST ,1.92,15,TRUE
1854,SILVER TRAYS,1.92,15,TRUE
1856,SINGLE DOOR FRIDGE,1.92,15,TRUE
1858,SMALL CROISSANT CUTTER,1.92,15,TRUE
1860,SMALL KNIFE,1.92,15,TRUE
1862,SMALL MADELEIN ,1.92,15,TRUE
1864,SMALL SEIVE ,1.92,15,TRUE
1866,SMALL SILICON,1.92,15,TRUE
1868,SMALLER MIXER ROLLING,1.92,15,TRUE
1870,SOUP SPOON,1.92,15,TRUE
1872,SPATULA ,1.92,15,TRUE
1874,SPATULA BIG,1.92,15,TRUE
1876,SPATULA SMALL,1.92,15,TRUE
1878,SPECIAL NOZZLES,1.92,15,TRUE
1880,SPRAY  ,1.92,15,TRUE
1882,SPRAY GUN,1.92,15,TRUE
1886,SQUARE 14 CM ,1.92,15,TRUE
1888,SQUARE 18 CM ,1.92,15,TRUE
1890,SQUARE 22 CM ,1.92,15,TRUE
1892,SQUARE ADJUSTABLE,1.92,15,TRUE
1894,SQUARE CUTTER ,1.92,15,TRUE
1896,SQUARE DOUBLE 12 CM ,1.92,15,TRUE
1898,STAINLESS STEEL BOWL ,1.92,15,TRUE
1900,STAINLESS STEEL TABLES,1.92,15,TRUE
1902,STAMPO ON SILICON,1.92,15,TRUE
1904,STANDING FRIDGE RACKS INSIDE ,1.92,15,TRUE
1906,STANILESS STEEL DISHES,1.92,15,TRUE
1908,STICK BLENDER ,1.92,15,TRUE
1910,STONE TABLES,1.92,15,TRUE
1912,STRAWBERRIES ,1.92,15,TRUE
1914,STRAWBERRY FLAVOUR,1.92,15,TRUE
1916,SUCRE NEIGE,1.92,15,TRUE
1918,SUGAR GRAINS,1.92,15,TRUE
1920,SUNFLOWER OIL,1.92,15,TRUE
1924,SWIRL CONE MOULD,1.92,15,TRUE
1926,SWIRL DOME MOULD ,1.92,15,TRUE
1928,TABLESPOON METAL ,1.92,15,TRUE
1930,TART DOUGH ,1.92,15,TRUE
1932,TART OLD,1.92,15,TRUE
1936,TART SHELLS COOKED,1.92,15,TRUE
1940,TEA TOWELS,1.92,15,TRUE
1942,TEASPOONS,1.92,15,TRUE
1946,TEMPRETURE GUN,1.92,15,TRUE
1948,TONGS,1.92,15,TRUE
1950,TOREH,1.92,15,TRUE
1952,TRANSFER SHEETS ,1.92,15,TRUE
1954,TRAY ,1.92,15,TRUE
1956,TRESURES,1.92,15,TRUE
1958,TUILE MOULDS ,1.92,15,TRUE
1960,TURNTABLE ,1.92,15,TRUE
1962,TWEEZERS,1.92,15,TRUE
1964,VANILLA ESSENCE,1.92,15,TRUE
1966,VANILLA SUGAR,1.92,15,TRUE
1968,WHEELIE BINS ,1.92,15,TRUE
1970,WHISK ATTACHMENT BEATER,1.92,15,TRUE
1972,WHISK MACHIEN ATTACHMENT,1.92,15,TRUE
1974,WHISKS,1.92,15,TRUE
1976,WHITE CHOCOLATE ,1.92,15,TRUE
1978,WHITE SUGAR,1.92,15,TRUE
1980,WOODEN COOLING RACK,1.92,15,TRUE
1982,WOODEN SPOON PLASTIC,1.92,15,TRUE
1984,XMAS DECO,1.92,15,TRUE
1986,XMAS DECO GOLD ,1.92,15,TRUE
1988,XMAS DECO GREEN ,1.92,15,TRUE
1990,YEAST - DRY ,1.92,15,TRUE
1992,YEAST - FRESH ,1.92,15,TRUE
1994,YELLOW COLOUR,1.92,15,TRUE
1996,YUZU,1.92,15,TRUE
1998,CARROTS ,1.92,15,TRUE
2000,BLUEBERRIES,1.92,15,TRUE
2002,STRAWBERRIES ,1.92,15,TRUE
2004,GOOSEBERRIES ,1.92,15,TRUE
2006,KIWI ,1.92,15,TRUE
2008,APPLES,1.92,15,TRUE
2010,LEMONS,1.92,15,TRUE
2012,ORANGES ,1.92,15,TRUE
2014,,1.92,15,TRUE
2016,PLAIN CROSSAINTS ,1.92,15,TRUE
2018,BIG CROISSANTS ,1.92,15,TRUE
2020,MINI  PLAIN CROISSANTS ,1.92,15,TRUE
2022,MED PLAIN CROISSANTS ,1.92,15,TRUE
2024,MED PLAIN CROISSANTS FROZEN ,1.92,15,TRUE
2026,CHOCOLATE CROSSAINTS ,1.92,15,TRUE
2028,MINI CHOCOLATE CROISSANTS ,1.92,15,TRUE
