id,name,unit_cost,remaining_qty,is_active,daily_stock_take
1998,MACAROONS- GREEN,1.92,15.00,true,false
1768,MACAROONS- GREEN,1.92,15.00,true,false
2002,MACAROONS- PURPLE,1.92,15.00,true,false
1770,MACAROONS- PURPLE,1.92,15.00,true,false
1772,MACAROONS- WHITE,1.92,15.00,true,false
2006,MACAROONS- WHITE,1.92,15.00,true,false
1769,MACAROONS-PINK,1.92,15.00,true,false
2000,MACAROONS-PINK,1.92,15.00,true,false
1773,MACAROONS - YELLOW,1.92,15.00,true,false
2008,MACAROONS - YELLOW,1.92,15.00,true,false
2066,MACON,1.92,15.00,true,false
1502,MADELEIN MIX,1.92,15.00,true,false
2067,MADELEIN PACKAGING,1.92,15.00,true,false
2014,MADELEINES,1.92,15.00,true,false
1776,MADELEINES,1.92,15.00,true,false
1503,MADELIN METAL MOULDS,1.92,15.00,true,false
1504,MANGO FLAVOUR,1.92,15.00,true,false
1505,MATS,1.92,15.00,true,false
2068,MAYONAISE,1.92,15.00,true,false
1506,MEASURING JUG,1.92,15.00,true,false
1507,MEASURING SPOON SET BY 5,1.92,15.00,true,false
1508,MEASURING SPOONS,1.92,15.00,true,false
1701,MED ALMOND CROISSANTS,1.92,15.00,true,false
2234,MED ALMOND CROISSANTS,1.92,15.00,true,false
2069,MED BOXES,1.92,15.00,true,false
1700,MED CHOCOLATE ALMOND CROISSANTS,1.92,15.00,true,false
2233,MED CHOCOLATE ALMOND CROISSANTS,1.92,15.00,true,false
2231,MED CHOCOLATE CROISSANTS,1.92,15.00,true,false
1698,MED CHOCOLATE CROISSANTS,1.92,15.00,true,false
1509,MED CROISSANT CUTTER,1.92,15.00,true,false
1694,MED PLAIN CROISSANTS,1.92,15.00,true,false
2227,MED PLAIN CROISSANTS,1.92,15.00,true,false
2228,MED PLAIN CROISSANTS FROZEN,1.92,15.00,true,false
1695,MED PLAIN CROISSANTS FROZEN,1.92,15.00,true,false
2030,MERVEILLEUX,1.92,15.00,true,false
1784,MERVEILLEUX,1.92,15.00,true,false
1510,METAL SCRAPER,1.92,15.00,true,false
1511,METAL TRAYS,1.92,15.00,true,false
2070,METHYLATED SPIRITS,1.92,15.00,true,false
1512,MICRO PLAINNER,1.92,15.00,true,false
2071,MICROWAVE,1.92,15.00,true,false
2072,MILK,1.92,15.00,true,false
1513,MILK B,1.92,15.00,true,false
2073,MILK JUGS LARGE,1.92,15.00,true,false
2074,MILK JUGS SMALL,1.92,15.00,true,false
2075,MILKSHAKE GLASSES,1.92,15.00,true,false
1751,MILLIE FEUILLE,1.92,15.00,true,false
1964,MILLIE FEUILLE,1.92,15.00,true,false
2076,MILLIE FUILLE PLASTICS,1.92,15.00,true,false
2077,MINCE,1.92,15.00,true,false
2226,MINI  PLAIN CROISSANTS,1.92,15.00,true,false
1693,MINI  PLAIN CROISSANTS,1.92,15.00,true,false
2235,MINI ALMOND CROISSANTS,1.92,15.00,true,false
1702,MINI ALMOND CROISSANTS,1.92,15.00,true,false
1705,MINI CHELSEA,1.92,15.00,true,false
2238,MINI CHELSEA,1.92,15.00,true,false
1697,MINI CHOCOLATE CROISSANTS,1.92,15.00,true,false
2230,MINI CHOCOLATE CROISSANTS,1.92,15.00,true,false
1956,MINI CHOCOLATE ECLAIRS- HALF SIZE OF NORMAL,1.92,15.00,true,false
1747,MINI CHOCOLATE ECLAIRS- HALF SIZE OF NORMAL,1.92,15.00,true,false
1764,MINI LEMON MERINGUE,1.92,15.00,true,false
1990,MINI LEMON MERINGUE,1.92,15.00,true,false
1786,MINI MERINGUES FOR COFFEE,1.92,15.00,true,false
2034,MINI MERINGUES FOR COFFEE,1.92,15.00,true,false
1966,MINI MILLIE FUILLE,1.92,15.00,true,false
1752,MINI MILLIE FUILLE,1.92,15.00,true,false
1745,MINI PARIS BREST,1.92,15.00,true,false
1952,MINI PARIS BREST,1.92,15.00,true,false
1757,MINI STRAWBERRY TARTS,1.92,15.00,true,false
1976,MINI STRAWBERRY TARTS,1.92,15.00,true,false
1514,MINI TART,1.92,15.00,true,false
1515,MIX APPLE,1.92,15.00,true,false
1516,MIX LEMON,1.92,15.00,true,false
1517,MIXED BERRY FLAVOUR,1.92,15.00,true,false
1518,MIXER BOWLS,1.92,15.00,true,false
1519,MIXING BOWL BIG,1.92,15.00,true,false
2078,MOZARELLA,1.92,15.00,true,false
2079,MRS BOLS CHUTNEY,1.92,15.00,true,false
1520,MUFFIN BAKING TRAY,1.92,15.00,true,false
2080,MUG WHITE,1.92,15.00,true,false
2081,MUGS 500ML,1.92,15.00,true,false
2082,MUSHROOMS,1.92,15.00,true,false
2083,MUTTON CLOTH,1.92,15.00,true,false
2084,NO HANDLE PANS,1.92,15.00,true,false
2085,NOZZLE SET,1.92,15.00,true,false
1521,NOZZLE SPECIAL,1.92,15.00,true,false
1522,NOZZLES,1.92,15.00,true,false
1523,NOZZLES ALL,1.92,15.00,true,false
2086,NUTELLA,1.92,15.00,true,false
2087,OATS,1.92,15.00,true,false
1524,OLD FASHIONED BROWN SUGAR,1.92,15.00,true,false
1525,OLD TRAYS,1.92,15.00,true,false
2088,OLIVE OIL,1.92,15.00,true,false
1526,OLIVE OIL,1.92,15.00,true,false
2089,ONIONS RED,1.92,15.00,true,false
2090,ONIONS WHITE,1.92,15.00,true,false
2091,OO FLOUR,1.92,15.00,true,false
1690,ORANGES,1.92,15.00,true,false
1527,OVAL RED CUTTER,1.92,15.00,true,false
2092,OVEN,1.92,15.00,true,false
2093,OVEN CLEANER,1.92,15.00,true,false
2094,OVEN TRAYS,1.92,15.00,true,false
2095,OXTAIL,1.92,15.00,true,false
2096,PALATE KNIFE,1.92,15.00,true,false
1528,PALETTE KNIFE,1.92,15.00,true,false
1710,PALMIERS,1.92,15.00,true,false
2243,PALMIERS,1.92,15.00,true,false
2097,PANINI,1.92,15.00,true,false
1732,PANINI,1.92,15.00,true,false
2098,PANINI PRESS,1.92,15.00,true,false
2099,PANS BIG 35 CM,1.92,15.00,true,false
2100,PANS SMALL 10 CM,1.92,15.00,true,false
2101,PANS SMALL 20 CM,1.92,15.00,true,false
2102,PAPRIKA,1.92,15.00,true,false
1529,PARING KNIFE,1.92,15.00,true,false
1950,PARIS BREST,1.92,15.00,true,false
1744,PARIS BREST,1.92,15.00,true,false
2103,PARSLEY,1.92,15.00,true,false
1530,PASSIN FRUIT FLAVOUR,1.92,15.00,true,false
1531,PASTRY BRUSH,1.92,15.00,true,false
1532,PASTRY BRUSH WHITE,1.92,15.00,true,false
1533,PASTRY BRUSHES,1.92,15.00,true,false
1534,PASTRY FILLING,1.92,15.00,true,false
1535,PASTRY SHEETER,1.92,15.00,true,false
1711,PATES DE NATES,1.92,15.00,true,false
2244,PATES DE NATES,1.92,15.00,true,false
1536,PATES DE NATES MOULD,1.92,15.00,true,false
1537,PATES DE NATES MOULDS,1.92,15.00,true,false
