ch,name,category,selling_price,remaining_qty,tax_rate,is_active,id,,
Med Pastries ,Med Almond ,,2,10,15.5,TRUE,1405,,
Med Pastries ,Med Butter ,,1,10,15.5,TRUE,1406,,
Med Pastries ,Med Chocolate  ,,2,10,15.5,TRUE,1407,,
Med Pastries ,Med Chelsea ,,1.5,10,15.5,TRUE,1408,,
Pastries,Palmiers ,,2,10,15.5,TRUE,1409,,
Pastries,Swiss Brioche,,3,10,15.5,TRUE,1410,,
Pastries,Pates de Nates ,,2,10,15.5,TRUE,1411,,
Pastries,Croughnuts ,,4,10,15.5,TRUE,1412,,
Savory,Pepper Steak Pie ,,7,15,15.5,TRUE,1290,,
Savory,Cheese Pie ,,8,15,15.5,TRUE,1217,,
Savory,Chicken Mushroom Pie ,,6,15,15.5,TRUE,1294,,
Savory,Sausage Roll,,2,15,15.5,TRUE,1295,,
Savory,Chicken Baguette ,,6,15,15.5,TRUE,1296,,
Savory,Beef Baguette,,9,15,15.5,TRUE,1297,,
Savory,Feta and Olive Baguette ,,6,15,15.5,TRUE,1298,,
Speciality Teas TWG,1837 Black Tea,,3,0,15.5,TRUE,1394,,
Speciality Teas TWG,Bain de Roses,,3,0,15.5,TRUE,1393,,
Speciality Teas TWG,Creme Caramel,,3,15,15.5,TRUE,1372,,
Speciality Teas TWG,Darjeeling,,3,15,15.5,TRUE,1284,,
Speciality Teas TWG,Earl Grey,,3,15,15.5,TRUE,1362,,
Speciality Teas TWG,English Breakfast Tea,,3,15,15.5,TRUE,1371,,
Speciality Teas TWG,Moroccan Mint,,3,15,15.5,TRUE,1375,,
Speciality Teas TWG,Rooibos TWG ,,3,15,15.5,TRUE,1278,,
Speciality Teas TWG,Sencha,,3,15,15.5,TRUE,1389,,
Speciality Teas TWG,Vanilla Bourbon,,3,15,15.5,TRUE,1384,,
Sweet Confessions,Nutella Filled Croissants,,7,15,15.5,TRUE,1336,,
Waffles ,Nutella and Banana,,5,15,15.5,TRUE,1337,,
Waffles ,Berries and Cream ,,5,15,15.5,TRUE,1338,,
Waffles ,Crumbed Chicken,,7,15,15.5,TRUE,1339,,
Waffles ,CDP Waffle,,7,15,15.5,TRUE,1340,,
Waffles ,Homemade Salted Caramel,,7,15,15.5,TRUE,1341,,
Waffles ,Add Ice Cream ,,2,15,15.5,TRUE,1342,,
Galette ,Mediterraneenne,,12,15,15.5,TRUE,1343,,
Galette ,Norvegienne,,14,15,15.5,TRUE,1344,,
Galette ,Country Style,,12,15,15.5,TRUE,1345,,
Galette ,Poulet Fume ,,12,15,15.5,TRUE,1346,,
Sweet Crepe ,Sweet Crepe with Vanilla Sugar ,,3,15,15.5,TRUE,1347,,
Sweet Crepe ,Add Choc Chip,,1,15,15.5,TRUE,1348,,
Sweet Crepe ,Add Whipped Cream ,,2,15,15.5,TRUE,1349,,
Sweet Crepe ,Add Ice Cream ,,2,15,15.5,TRUE,1350,,
Sweet Crepe ,Add Salted Caramel,,2,15,15.5,TRUE,1351,,
Sweet Crepe ,Add Banana,,1,15,15.5,TRUE,1352,,
Sweet Crepe ,Add Lemon and sugar ,,1,15,15.5,TRUE,1353,,
Sweet Crepe ,Add Cinammon Sugar ,,1,15,15.5,TRUE,1354,,
Extras ,Add Hot Milk ,,1,15,15.5,TRUE,1355,,
Extras ,Add Macon ,,2,15,15.5,TRUE,1356,,
Extras ,Add Beef Fillet ,,2,15,15.5,TRUE,1357,,
Extras ,Add Egg,,1,15,15.5,TRUE,1358,,
Extras ,Add Veg ,,2,15,15.5,TRUE,1359,,
Extras ,Add Mushroom,,3,15,15.5,TRUE,1360,,
Extras ,Add Mushroom Sauce ,,3,15,15.5,TRUE,1361,,
Extras ,Add Pepper Sauce ,,3,15,15.5,TRUE,1362,,
Extras ,Add Avocado,,2,15,15.5,TRUE,1363,,
Extras ,Add Tomato ,,1,15,15.5,TRUE,1364,,
Extras ,Add Smoked Salmon,,3,15,15.5,TRUE,1365,,
Extras ,Add Cheese,,3,15,15.5,TRUE,1366,,
Extras ,Add Sausage ,,3,15,15.5,TRUE,1367,,
Extras ,Add Brioche Slice ,,2,15,15.5,TRUE,1368,,
All Day Breakfast1,Avocado on Toast,,8,15,15.5,TRUE,1286,,
All Day Breakfast1,Eggs Benedict,,10,15,15.5,TRUE,1215,"NEEDS POP UP SOFT, MED OR HARD EGGS",
All Day Breakfast1,English Breakfast,,12,15,15.5,TRUE,1267,"NEEDS POP UP SOFT, MED OR HARD EGGS",
All Day Breakfast1,French Toast,,7,15,15.5,TRUE,1240,,
All Day Breakfast1,Omelette,,10,15,15.5,TRUE,1230,,
All Day Breakfast1,Smoked Salmon Brioche,,12,15,0,TRUE,1369,"NEEDS POP UP SOFT, MED OR HARD EGGS",
All Day Breakfast1,Smoked Salmon Croissant,,12,15,15.5,TRUE,1254,,
